City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
486,vaitape,PF,81.93,overcast clouds,-16.5167,-151.75,Conrad Bora Bora Nui
487,stabat,ID,87.8,few clouds,3.761,98.4513,Link VII damai
489,ambon,ID,84.2,moderate rain,-3.6954,128.1814,Swiss-Belhotel Ambon
490,inongo,CD,79.61,overcast clouds,-1.95,18.2667,Hotel Du Lac
491,rio tuba,PH,81.54,moderate rain,8.5061,117.4317,Tagle’s Lodging House
501,galveston,US,75.0,mist,29.3669,-94.9669,Comfort Inn & Suites Texas City
502,bushehr,IR,86.0,clear sky,28.9684,50.8385,Yas Hotel
508,nanakuli,US,71.01,clear sky,21.3906,-158.1547,Camp Pālehua
509,amuntai,ID,89.01,moderate rain,-2.4177,115.2494,Hotel Balqis
511,baghdad,IQ,78.8,clear sky,33.3406,44.4009,Baghdad Hotel
512,molteno,ZA,77.94,overcast clouds,-31.3968,26.3625,Nadirashaleeta B&B
513,tabuk,PH,81.34,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
514,ibra,OM,93.13,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
519,sawakin,SD,83.79,clear sky,19.1059,37.3321,فندق الدويم
524,gelemso,ET,81.66,few clouds,8.8167,40.5167,Kerod Hotel
529,kawalu,ID,80.35,broken clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
530,nurota,UZ,78.8,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
532,santa cruz,BO,73.4,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
533,vila velha,BR,73.99,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
535,cockburn town,TC,74.8,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
539,komsomolskiy,UZ,73.4,clear sky,40.4272,71.7189,Ikathouse
540,siavonga,ZM,80.37,clear sky,-16.5382,28.7088,Lavongora Waterfront Lodge
544,inhambane,MZ,84.2,few clouds,-23.865,35.3833,Oceano
545,resistencia,AR,78.01,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
549,chokwe,MZ,85.98,few clouds,-24.5333,32.9833,Complexo Sonho Real
550,kwinana,AU,81.0,broken clouds,-32.25,115.7667,Rockingham Apartments
551,swellendam,ZA,75.2,overcast clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
556,tubmanburg,LR,81.93,broken clouds,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
